,Linear Classifier,SVM Classifier,MLP Classifier,TDNN Classifier with Padding,TDNN Classifier without Padding
Training Accuracy,0.9973233404710921,0.9785867237687366,1.0,0.9989293361884368,0.9978586723768736
Validation Accuracy,0.9678800856531049,0.9678800856531049,0.9785867237687366,0.9700214132762313,0.9764453961456103
Testing Accuracy,0.7283950617283951,0.7283950617283951,0.8395061728395061,0.8271604938271605,0.8148148148148148
AUC Score,0.6042928855807512,0.6042928855807512,0.8371126882464949,0.7940107322139518,0.7945300328890428
