,Linear Classifier,SVM Classifier,MLP Classifier,TDNN Classifier with Padding,TDNN Classifier without Padding
Training Accuracy,0.9941113490364025,0.9946466809421841,0.9989293361884368,0.9946466809421841,0.9962526766595289
Validation Accuracy,0.9443254817987152,0.9443254817987152,0.9678800856531049,0.9721627408993576,0.9657387580299786
Testing Accuracy,0.7839506172839507,0.7839506172839507,0.8518518518518519,0.8395061728395061,0.845679012345679
AUC Score,0.7764410593733773,0.7764410593733773,0.8511338064739484,0.817725463043102,0.8368530379089493
