,Linear Classifier,SVM Classifier,MLP Classifier,TDNN Classifier with Padding,TDNN Classifier without Padding
Training Accuracy,0.9977426636568849,0.9980248306997742,1.0,1.0,1.0
Validation Accuracy,0.9875846501128668,0.9875846501128668,0.9932279909706546,0.9875846501128668,0.9853273137697517
Testing Accuracy,0.7407407407407407,0.7407407407407407,0.8271604938271605,0.8271604938271605,0.8148148148148148
AUC Score,0.6667820668166868,0.6667820668166868,0.7843171196122555,0.8037043448156482,0.7848364202873463
