,Linear Classifier,SVM Classifier,MLP Classifier,TDNN Classifier with Padding,TDNN Classifier without Padding
Training Accuracy,0.9935760171306209,0.9785867237687366,0.9994646680942184,0.9994646680942184,0.9946466809421841
Validation Accuracy,0.9678800856531049,0.9678800856531049,0.9764453961456103,0.9764453961456103,0.9721627408993576
Testing Accuracy,0.7098765432098766,0.7098765432098766,0.8271604938271605,0.8271604938271605,0.845679012345679
AUC Score,0.5905314176908429,0.5905314176908429,0.7891639259131036,0.7843171196122555,0.8223126190064047
